x	y	group	clickSelects
48091.6	0	1	48092-48092
48092	0.400000000001455	1	48092-48092
48092.4	0	1	48092-48092
48092	-0.400000000001455	1	48092-48092
48091.6	0	1	48092-48092
48092.1	0.5	2	48092-48093
48092.5	0.900000000001455	2	48092-48093
48092.9	0.5	2	48092-48093
48092.5	0.0999999999985448	2	48092-48093
48092.1	0.5	2	48092-48093
48092.6	1	3	48092-48094
48093	1.40000000000146	3	48092-48094
48093.4	1	3	48092-48094
48093	0.599999999998545	3	48092-48094
48092.6	1	3	48092-48094
48093.1	1.5	4	48092-48095
48093.5	1.90000000000146	4	48092-48095
48093.9	1.5	4	48092-48095
48093.5	1.09999999999854	4	48092-48095
48093.1	1.5	4	48092-48095
48093.6	2	5	48092-48096
48094	2.40000000000146	5	48092-48096
48094.4	2	5	48092-48096
48094	1.59999999999854	5	48092-48096
48093.6	2	5	48092-48096
48094.1	2.5	6	48092-48097
48094.5	2.90000000000146	6	48092-48097
48094.9	2.5	6	48092-48097
48094.5	2.09999999999854	6	48092-48097
48094.1	2.5	6	48092-48097
48094.6	3	7	48092-48098
48095	3.40000000000146	7	48092-48098
48095.4	3	7	48092-48098
48095	2.59999999999855	7	48092-48098
48094.6	3	7	48092-48098
48095.1	3.5	8	48092-48099
48095.5	3.90000000000146	8	48092-48099
48095.9	3.5	8	48092-48099
48095.5	3.09999999999855	8	48092-48099
48095.1	3.5	8	48092-48099
48095.6	4	9	48092-48100
48096	4.40000000000146	9	48092-48100
48096.4	4	9	48092-48100
48096	3.59999999999855	9	48092-48100
48095.6	4	9	48092-48100
48096.1	4.5	10	48092-48101
48096.5	4.90000000000146	10	48092-48101
48096.9	4.5	10	48092-48101
48096.5	4.09999999999855	10	48092-48101
48096.1	4.5	10	48092-48101
48096.6	5	11	48092-48102
48097	5.40000000000146	11	48092-48102
48097.4	5	11	48092-48102
48097	4.59999999999855	11	48092-48102
48096.6	5	11	48092-48102
48097.1	5.5	12	48092-48103
48097.5	5.90000000000146	12	48092-48103
48097.9	5.5	12	48092-48103
48097.5	5.09999999999855	12	48092-48103
48097.1	5.5	12	48092-48103
48097.6	6	13	48092-48104
48098	6.40000000000146	13	48092-48104
48098.4	6	13	48092-48104
48098	5.59999999999855	13	48092-48104
48097.6	6	13	48092-48104
48098.1	6.5	14	48092-48105
48098.5	6.90000000000146	14	48092-48105
48098.9	6.5	14	48092-48105
48098.5	6.09999999999855	14	48092-48105
48098.1	6.5	14	48092-48105
48098.6	7	15	48092-48106
48099	7.40000000000146	15	48092-48106
48099.4	7	15	48092-48106
48099	6.59999999999855	15	48092-48106
48098.6	7	15	48092-48106
48099.1	7.5	16	48092-48107
48099.5	7.90000000000146	16	48092-48107
48099.9	7.5	16	48092-48107
48099.5	7.09999999999855	16	48092-48107
48099.1	7.5	16	48092-48107
48099.6	8	17	48092-48108
48100	8.40000000000146	17	48092-48108
48100.4	8	17	48092-48108
48100	7.59999999999855	17	48092-48108
48099.6	8	17	48092-48108
48100.1	8.5	18	48092-48109
48100.5	8.90000000000146	18	48092-48109
48100.9	8.5	18	48092-48109
48100.5	8.09999999999855	18	48092-48109
48100.1	8.5	18	48092-48109
48100.6	9	19	48092-48110
48101	9.40000000000146	19	48092-48110
48101.4	9	19	48092-48110
48101	8.59999999999855	19	48092-48110
48100.6	9	19	48092-48110
48101.1	9.5	20	48092-48111
48101.5	9.90000000000146	20	48092-48111
48101.9	9.5	20	48092-48111
48101.5	9.09999999999854	20	48092-48111
48101.1	9.5	20	48092-48111
48101.6	10	21	48092-48112
48102	10.4000000000015	21	48092-48112
48102.4	10	21	48092-48112
48102	9.59999999999854	21	48092-48112
48101.6	10	21	48092-48112
48102.1	10.5	22	48092-48113
48102.5	10.9000000000015	22	48092-48113
48102.9	10.5	22	48092-48113
48102.5	10.0999999999985	22	48092-48113
48102.1	10.5	22	48092-48113
48102.6	11	23	48092-48114
48103	11.4000000000015	23	48092-48114
48103.4	11	23	48092-48114
48103	10.5999999999985	23	48092-48114
48102.6	11	23	48092-48114
48103.1	11.5	24	48092-48115
48103.5	11.9000000000015	24	48092-48115
48103.9	11.5	24	48092-48115
48103.5	11.0999999999985	24	48092-48115
48103.1	11.5	24	48092-48115
48103.6	12	25	48092-48116
48104	12.4000000000015	25	48092-48116
48104.4	12	25	48092-48116
48104	11.5999999999985	25	48092-48116
48103.6	12	25	48092-48116
48104.1	12.5	26	48092-48117
48104.5	12.9000000000015	26	48092-48117
48104.9	12.5	26	48092-48117
48104.5	12.0999999999985	26	48092-48117
48104.1	12.5	26	48092-48117
48104.6	13	27	48092-48118
48105	13.4000000000015	27	48092-48118
48105.4	13	27	48092-48118
48105	12.5999999999985	27	48092-48118
48104.6	13	27	48092-48118
48105.1	13.5	28	48092-48119
48105.5	13.9000000000015	28	48092-48119
48105.9	13.5	28	48092-48119
48105.5	13.0999999999985	28	48092-48119
48105.1	13.5	28	48092-48119
48105.6	14	29	48092-48120
48106	14.4000000000015	29	48092-48120
48106.4	14	29	48092-48120
48106	13.5999999999985	29	48092-48120
48105.6	14	29	48092-48120
48106.1	14.5	30	48092-48121
48106.5	14.9000000000015	30	48092-48121
48106.9	14.5	30	48092-48121
48106.5	14.0999999999985	30	48092-48121
48106.1	14.5	30	48092-48121
48106.6	15	31	48092-48122
48107	15.4000000000015	31	48092-48122
48107.4	15	31	48092-48122
48107	14.5999999999985	31	48092-48122
48106.6	15	31	48092-48122
48107.1	15.5	32	48092-48123
48107.5	15.9000000000015	32	48092-48123
48107.9	15.5	32	48092-48123
48107.5	15.0999999999985	32	48092-48123
48107.1	15.5	32	48092-48123
48107.6	16	33	48092-48124
48108	16.4000000000015	33	48092-48124
48108.4	16	33	48092-48124
48108	15.5999999999985	33	48092-48124
48107.6	16	33	48092-48124
48108.6	17	34	48092-48126
48109	17.4000000000015	34	48092-48126
48109.4	17	34	48092-48126
48109	16.5999999999985	34	48092-48126
48108.6	17	34	48092-48126
48109.1	17.5	35	48092-48127
48109.5	17.9000000000015	35	48092-48127
48109.9	17.5	35	48092-48127
48109.5	17.0999999999985	35	48092-48127
48109.1	17.5	35	48092-48127
48109.6	18	36	48092-48128
48110	18.4000000000015	36	48092-48128
48110.4	18	36	48092-48128
48110	17.5999999999985	36	48092-48128
48109.6	18	36	48092-48128
48110.1	18.5	37	48092-48129
48110.5	18.9000000000015	37	48092-48129
48110.9	18.5	37	48092-48129
48110.5	18.0999999999985	37	48092-48129
48110.1	18.5	37	48092-48129
48110.6	19	38	48092-48130
48111	19.4000000000015	38	48092-48130
48111.4	19	38	48092-48130
48111	18.5999999999985	38	48092-48130
48110.6	19	38	48092-48130
48111.1	19.5	39	48092-48131
48111.5	19.9000000000015	39	48092-48131
48111.9	19.5	39	48092-48131
48111.5	19.0999999999985	39	48092-48131
48111.1	19.5	39	48092-48131
48111.6	20	40	48092-48132
48112	20.4000000000015	40	48092-48132
48112.4	20	40	48092-48132
48112	19.5999999999985	40	48092-48132
48111.6	20	40	48092-48132
48112.1	20.5	41	48092-48133
48112.5	20.9000000000015	41	48092-48133
48112.9	20.5	41	48092-48133
48112.5	20.0999999999985	41	48092-48133
48112.1	20.5	41	48092-48133
48112.6	21	42	48092-48134
48113	21.4000000000015	42	48092-48134
48113.4	21	42	48092-48134
48113	20.5999999999985	42	48092-48134
48112.6	21	42	48092-48134
48113.1	21.5	43	48092-48135
48113.5	21.9000000000015	43	48092-48135
48113.9	21.5	43	48092-48135
48113.5	21.0999999999985	43	48092-48135
48113.1	21.5	43	48092-48135
48113.6	22	44	48092-48136
48114	22.4000000000015	44	48092-48136
48114.4	22	44	48092-48136
48114	21.5999999999985	44	48092-48136
48113.6	22	44	48092-48136
48114.1	22.5	45	48092-48137
48114.5	22.9000000000015	45	48092-48137
48114.9	22.5	45	48092-48137
48114.5	22.0999999999985	45	48092-48137
48114.1	22.5	45	48092-48137
48114.6	23	46	48092-48138
48115	23.4000000000015	46	48092-48138
48115.4	23	46	48092-48138
48115	22.5999999999985	46	48092-48138
48114.6	23	46	48092-48138
48115.1	23.5	47	48092-48139
48115.5	23.9000000000015	47	48092-48139
48115.9	23.5	47	48092-48139
48115.5	23.0999999999985	47	48092-48139
48115.1	23.5	47	48092-48139
48115.6	24	48	48092-48140
48116	24.4000000000015	48	48092-48140
48116.4	24	48	48092-48140
48116	23.5999999999985	48	48092-48140
48115.6	24	48	48092-48140
48116.1	24.5	49	48092-48141
48116.5	24.9000000000015	49	48092-48141
48116.9	24.5	49	48092-48141
48116.5	24.0999999999985	49	48092-48141
48116.1	24.5	49	48092-48141
48092.6	0	50	48093-48093
48093	0.400000000001455	50	48093-48093
48093.4	0	50	48093-48093
48093	-0.400000000001455	50	48093-48093
48092.6	0	50	48093-48093
48093.1	0.5	51	48093-48094
48093.5	0.900000000001455	51	48093-48094
48093.9	0.5	51	48093-48094
48093.5	0.0999999999985448	51	48093-48094
48093.1	0.5	51	48093-48094
48093.6	1	52	48093-48095
48094	1.40000000000146	52	48093-48095
48094.4	1	52	48093-48095
48094	0.599999999998545	52	48093-48095
48093.6	1	52	48093-48095
48094.1	1.5	53	48093-48096
48094.5	1.90000000000146	53	48093-48096
48094.9	1.5	53	48093-48096
48094.5	1.09999999999854	53	48093-48096
48094.1	1.5	53	48093-48096
48094.6	2	54	48093-48097
48095	2.40000000000146	54	48093-48097
48095.4	2	54	48093-48097
48095	1.59999999999854	54	48093-48097
48094.6	2	54	48093-48097
48095.1	2.5	55	48093-48098
48095.5	2.90000000000146	55	48093-48098
48095.9	2.5	55	48093-48098
48095.5	2.09999999999854	55	48093-48098
48095.1	2.5	55	48093-48098
48095.6	3	56	48093-48099
48096	3.40000000000146	56	48093-48099
48096.4	3	56	48093-48099
48096	2.59999999999855	56	48093-48099
48095.6	3	56	48093-48099
48096.1	3.5	57	48093-48100
48096.5	3.90000000000146	57	48093-48100
48096.9	3.5	57	48093-48100
48096.5	3.09999999999855	57	48093-48100
48096.1	3.5	57	48093-48100
48096.6	4	58	48093-48101
48097	4.40000000000146	58	48093-48101
48097.4	4	58	48093-48101
48097	3.59999999999855	58	48093-48101
48096.6	4	58	48093-48101
48097.1	4.5	59	48093-48102
48097.5	4.90000000000146	59	48093-48102
48097.9	4.5	59	48093-48102
48097.5	4.09999999999855	59	48093-48102
48097.1	4.5	59	48093-48102
48097.6	5	60	48093-48103
48098	5.40000000000146	60	48093-48103
48098.4	5	60	48093-48103
48098	4.59999999999855	60	48093-48103
48097.6	5	60	48093-48103
48098.1	5.5	61	48093-48104
48098.5	5.90000000000146	61	48093-48104
48098.9	5.5	61	48093-48104
