x	y	showSelected1
-1.42649808871625	6.48711936689923	48092-48092
-1.53157361061826	8.83110578946941	48092-48093
-1.47684285186024	7.43104088561711	48092-48094
-1.57846820326856	8.30060282685798	48092-48095
-1.06115952590629	2.0913083035928	48092-48096
-1.71093128500436	4.02675366424358	48092-48097
-0.719154437880353	0.705089026956021	48092-48098
-1.43509307915342	1.40641103569075	48092-48099
-0.459654135668942	0.372569711891572	48092-48100
0.0118131086732019	0.00600551725196134	48092-48101
0.663665680108746	0.404207265867802	48092-48102
0.358915693115561	0.111118792530004	48092-48103
0.397344675838331	0.235169973274679	48092-48104
0.365205349924233	0.151626072747632	48092-48105
-0.964039570562586	0.310527015822165	48092-48106
0.563060826600112	0.247768272732394	48092-48107
0.266627115175975	0.0625465270492054	48092-48108
0.26536920306207	0.0607131516888846	48092-48109
-1.27668790996138	0.313039231856208	48092-48110
-1.92693535575958	0.501833177367217	48092-48111
1.11964790609123	0.373167238617778	48092-48112
-3.89017451709462	1.46292623163811	48092-48113
-1.27668790996138	0.313039231856208	48092-48114
-2.97754145829741	0.906986617282364	48092-48115
-1.27795488736983	0.312842928655189	48092-48116
-0.165995901517122	0.0390385236513994	48092-48117
-1.27266443213812	0.317800856675647	48092-48118
-1.27270649800707	0.317750161176215	48092-48119
-2.98219302127868	0.923801018162395	48092-48120
-2.70662069556785	0.776792816642238	48092-48121
-0.747174700671328	0.218517631294127	48092-48122
-2.37077728022036	0.646757492883705	48092-48123
1.75491055623067	0.615774918457635	48092-48124
-2.37105194074326	0.621862370215723	48092-48126
-2.37022774580066	0.62302778395601	48092-48127
0.901957376552323	0.226832788396469	48092-48128
-2.977981440892	0.90614685835462	48092-48129
-0.167503736762668	0.0395177751743318	48092-48130
-1.27270649800707	0.317750161176215	48092-48131
-1.92693535575958	0.501833177367217	48092-48132
-1.27270649800707	0.317750161176215	48092-48133
-1.27270649800707	0.317750161176215	48092-48134
-2.98283119410466	0.892701528362609	48092-48135
-1.92710545610806	0.48249935977077	48092-48136
-1.93101694731389	0.487888357893364	48092-48137
-2.37105194074326	0.621862370215723	48092-48138
-1.92693535575958	0.501833177367217	48092-48139
-2.37852296794475	0.613080850264737	48092-48140
-0.752427968695644	0.217499311058925	48092-48141
-1.77146204995174	18.8239418893943	48093-48093
-1.48440980220025	16.9961992209091	48093-48094
-1.61531345077175	16.2984619016965	48093-48095
-1.3398886369376	6.56522865507646	48093-48096
-1.95786229810903	8.38020160210551	48093-48097
-0.90660030077064	1.7261740430723	48093-48098
-1.01567334422552	1.94689981433593	48093-48099
0.270006428349408	0.356160185246082	48093-48100
0.122836084963957	0.0959609819835794	48093-48101
-0.241098034513159	0.162992022658916	48093-48102
-0.875752902629686	0.638593194533719	48093-48103
-0.625339194270965	0.368027991021815	48093-48104
0.55052131043964	0.352448732067747	48093-48105
-0.795728560681628	0.411532208320901	48093-48106
-0.180203426061411	0.0733178104974537	48093-48107
-0.347410701844683	0.141243078022129	48093-48108
0.406572439362006	0.15438904257167	48093-48109
-3.20942269485098	1.00711469558026	48093-48110
-1.00595190489937	0.475337221149318	48093-48111
-2.37464705940409	0.653806023376385	48093-48112
-1.34624652985668	0.51012610348234	48093-48113
-3.74118299589525	1.3751648469689	48093-48114
-2.98219302127868	0.923801018162395	48093-48115
-0.491680817131469	0.134103307722624	48093-48116
-2.97842143297777	0.894143696496843	48093-48117
-3.88428323576117	1.55036129332742	48093-48119
-0.129977803474409	0.0401559264919559	48093-48120
-1.16012849355376	0.410572883217692	48093-48121
-0.166446859278822	0.0399412992940366	48093-48122
-1.95365751200882	0.987470938585249	48093-48123
0.687440936402426	0.22639578198474	48093-48124
0.263430194200273	0.0606430256734126	48093-48125
1.67078950576	0.689026362894369	48093-48126
0.106964777885778	0.0311087526441201	48093-48127
-1.92676514965655	0.483042957846023	48093-48128
-0.752964638423205	0.222354166182952	48093-48129
-2.37436752964166	0.635450040496641	48093-48130
-3.20366405610256	1.02327168051518	48093-48131
-3.40476703405873	1.13543576543995	48093-48132
0.266919334293789	0.0608156865347318	48093-48133
-2.97754145829741	0.906986617282364	48093-48134
-0.96462396275921	0.309268554402933	48093-48135
-3.58029630828316	1.27020572903749	48093-48136
-2.70698383580736	0.782914112248885	48093-48137
1.12197628791162	0.360096862188176	48093-48138
-2.37022774580066	0.62302778395601	48093-48139
0.262082917425871	0.0624941468940538	48093-48140
-1.93084221322313	0.487996430070766	48093-48141
-1.92693535575958	0.501833177367217	48093-48142
-1.32564947967513	21.7613035010819	48094-48094
-0.955930898670718	15.2457241119922	48094-48095
-1.18472812433517	11.3565331411146	48094-48096
-1.60485319783776	14.4585891259176	48094-48097
-1.48306541114102	8.49420810929345	48094-48098
-0.328367275065567	0.859617382290441	48094-48099
-0.929268979819018	3.10800811717825	48094-48100
-0.287877099167228	0.409649345623703	48094-48101
0.45901284379321	0.772586642812675	48094-48102
-0.464557742219538	0.474899862574875	48094-48103
-1.3064428911459	2.12510380975342	48094-48104
-0.755677743700148	0.600399247901538	48094-48105
-0.895092711107959	1.00739558251255	48094-48106
-1.38968142381191	1.39715075542588	48094-48107
-2.11908422666478	1.66631877948984	48094-48108
-1.28526452213048	1.23602867520484	48094-48109
0.079581042403494	0.0334325745186715	48094-48110
-0.0523655008248549	0.0217592965483112	48094-48111
0.00481131556981469	0.0015300152308341	48094-48112
-1.15643132343054	0.736070259600092	48094-48113
-0.852559397208577	0.377290479797801	48094-48114
-1.66014403568455	1.07686299350104	48094-48115
-2.1938618186304	1.17592587750799	48094-48116
-1.55729086931171	0.894988686458688	48094-48117
-4.355397514743	2.09796628990681	48094-48118
-0.845504756034441	0.370956854243781	48094-48119
-1.14835151438713	0.58803572674483	48094-48120
-1.66222084336883	0.729889683687602	48094-48121
-1.12760367193058	0.54251979649316	48094-48122
-1.94076316844643	0.96003263760357	48094-48123
-2.19330890874428	1.17342991840139	48094-48124
-0.662481336425116	0.30006207333105	48094-48125
-0.126441273183866	0.0384210514004542	48094-48126
-1.80315620312502	0.818985187266135	48094-48127
-2.71117269649696	0.795215374780669	48094-48128
-0.757721919356139	0.220448965572615	48094-48129
-1.64915698887173	0.714082173276836	48094-48130
-0.686381740027676	0.278133513508217	48094-48131
-0.499614099932337	0.179140652599135	48094-48132
-3.22010389654462	0.961414095028852	48094-48133
-0.697594637216647	0.263774397188101	48094-48134
0.120508310565446	0.0546698370778621	48094-48135
-2.71117269649696	0.795215374780669	48094-48136
-1.50996392380257	0.578070103305096	48094-48137
-0.125327746545732	0.0383384131052412	48094-48138
-2.98130290015837	0.925271985405218	48094-48139
-1.95821417393693	0.975112098698478	48094-48140
-3.4096436177066	1.15227712022473	48094-48141
-0.837282924777246	0.35050010511779	48094-48142
-0.489735744403573	0.129959871515153	48094-48143
-1.04526138839424	21.2966621352918	48095-48095
-1.00076082675148	17.4463499795723	48095-48096
-1.38910020169248	19.6008970994606	48095-48097
-1.2742777309068	13.1511751047959	48095-48098
-0.829423971266179	6.49033683520071	48095-48099
-0.520608588173482	2.80152942033254	48095-48100
-0.484951452620696	1.85810334199705	48095-48101
-0.127403607132746	0.262109358226923	48095-48102
-0.451082704926404	0.992313908172387	48095-48103
-0.535431139382882	1.12452368739301	48095-48104
-0.476089767736201	0.829399384112729	48095-48105
-1.60720643392354	4.74549464633925	48095-48106
-1.01678658047993	2.17900855845082	48095-48107
-0.3492953235129	0.41377102124381	48095-48108
-1.19259427491451	1.95539506444768	48095-48109
0.0123916815941027	0.00918416923286509	48095-48110
-0.262496045335984	0.215420643528345	48095-48111
0.246758122406017	0.19611720580733	48095-48112
-1.02686889531575	0.916681321924028	48095-48113
-0.641114054589727	0.569514109948087	48095-48114
-1.76749291599101	2.01502669081445	48095-48115
-0.61452808674104	0.491388678517016	48095-48116
-1.95987717688155	2.37262374851673	48095-48117
-1.40460700906844	1.08495419215267	48095-48118
-0.88973934226515	0.873584002636643	48095-48119
-3.54288670190184	3.54072763286944	48095-48120
-2.19560299303847	3.50405649343752	48095-48121
-4.31648307332522	6.11519346615493	48095-48122
-1.15410912314862	1.26852764110672	48095-48123
-2.93175671580121	3.58508090064637	48095-48124
-1.81808466431897	1.69126208768802	48095-48125
-2.77394609049798	3.11623404796337	48095-48126
-0.944669801978107	0.502601558280959	48095-48127
-3.15720024529663	2.57251608117879	48095-48128
-2.00667833088081	1.95809415743148	48095-48129
-4.65251755120304	2.58072429194272	48095-48130
-1.61650105572548	1.22170171646032	48095-48131
-2.32577157572245	2.07223883387832	48095-48132
-2.9984992242059	2.44158573320733	48095-48133
-0.454815607152605	0.225716891568452	48095-48134
0.182699176798559	0.087152845884632	48095-48135
