colour	fill	x	y	group
#BCBCBC	#E3C2BE	48091.6	0	1
#BCBCBC	#E3C2BE	48092	0.400000000001455	1
#BCBCBC	#E3C2BE	48092.4	0	1
#BCBCBC	#E3C2BE	48092	-0.400000000001455	1
#BCBCBC	#E3C2BE	48091.6	0	1
#A4A4A4	#E1BEB9	48092.1	0.5	2
#A4A4A4	#E1BEB9	48092.5	0.900000000001455	2
#A4A4A4	#E1BEB9	48092.9	0.5	2
#A4A4A4	#E1BEB9	48092.5	0.0999999999985448	2
#A4A4A4	#E1BEB9	48092.1	0.5	2
#B2B2B2	#E2C0BC	48092.6	1	3
#B2B2B2	#E2C0BC	48093	1.40000000000146	3
#B2B2B2	#E2C0BC	48093.4	1	3
#B2B2B2	#E2C0BC	48093	0.599999999998545	3
#B2B2B2	#E2C0BC	48092.6	1	3
#AAAAAA	#E0BCB7	48093.1	1.5	4
#AAAAAA	#E0BCB7	48093.5	1.90000000000146	4
#AAAAAA	#E0BCB7	48093.9	1.5	4
#AAAAAA	#E0BCB7	48093.5	1.09999999999854	4
#AAAAAA	#E0BCB7	48093.1	1.5	4
#E9E9E9	#EAD2CE	48093.6	2	5
#E9E9E9	#EAD2CE	48094	2.40000000000146	5
#E9E9E9	#EAD2CE	48094.4	2	5
#E9E9E9	#EAD2CE	48094	1.59999999999854	5
#E9E9E9	#EAD2CE	48093.6	2	5
#D5D5D5	#DDB6B2	48094.1	2.5	6
#D5D5D5	#DDB6B2	48094.5	2.90000000000146	6
#D5D5D5	#DDB6B2	48094.9	2.5	6
#D5D5D5	#DDB6B2	48094.5	2.09999999999854	6
#D5D5D5	#DDB6B2	48094.1	2.5	6
#F8F8F8	#F1E0DE	48094.6	3	7
#F8F8F8	#F1E0DE	48095	3.40000000000146	7
#F8F8F8	#F1E0DE	48095.4	3	7
#F8F8F8	#F1E0DE	48095	2.59999999999855	7
#F8F8F8	#F1E0DE	48094.6	3	7
#F0F0F0	#E3C2BE	48095.1	3.5	8
#F0F0F0	#E3C2BE	48095.5	3.90000000000146	8
#F0F0F0	#E3C2BE	48095.9	3.5	8
#F0F0F0	#E3C2BE	48095.5	3.09999999999855	8
#F0F0F0	#E3C2BE	48095.1	3.5	8
#FBFBFB	#F6EBEA	48095.6	4	9
#FBFBFB	#F6EBEA	48096	4.40000000000146	9
#FBFBFB	#F6EBEA	48096.4	4	9
#FBFBFB	#F6EBEA	48096	3.59999999999855	9
#FBFBFB	#F6EBEA	48095.6	4	9
#FFFFFF	#FFFFFF	48096.1	4.5	10
#FFFFFF	#FFFFFF	48096.5	4.90000000000146	10
#FFFFFF	#FFFFFF	48096.9	4.5	10
#FFFFFF	#FFFFFF	48096.5	4.09999999999855	10
#FFFFFF	#FFFFFF	48096.1	4.5	10
#FBFBFB	#E7E4F2	48096.6	5	11
