colour	fill	x	y	group
#FBFBFB	#E7E4F2	48097	5.40000000000146	11
#FBFBFB	#E7E4F2	48097.4	5	11
#FBFBFB	#E7E4F2	48097	4.59999999999855	11
#FBFBFB	#E7E4F2	48096.6	5	11
#FEFEFE	#F2F0F8	48097.1	5.5	12
#FEFEFE	#F2F0F8	48097.5	5.90000000000146	12
#FEFEFE	#F2F0F8	48097.9	5.5	12
#FEFEFE	#F2F0F8	48097.5	5.09999999999855	12
#FEFEFE	#F2F0F8	48097.1	5.5	12
#FCFCFC	#F1EFF7	48097.6	6	13
#FCFCFC	#F1EFF7	48098	6.40000000000146	13
#FCFCFC	#F1EFF7	48098.4	6	13
#FCFCFC	#F1EFF7	48098	5.59999999999855	13
#FCFCFC	#F1EFF7	48097.6	6	13
#FDFDFD	#F2F0F8	48098.1	6.5	14
#FDFDFD	#F2F0F8	48098.5	6.90000000000146	14
#FDFDFD	#F2F0F8	48098.9	6.5	14
#FDFDFD	#F2F0F8	48098.5	6.09999999999855	14
#FDFDFD	#F2F0F8	48098.1	6.5	14
#FCFCFC	#ECD6D3	48098.6	7	15
#FCFCFC	#ECD6D3	48099	7.40000000000146	15
#FCFCFC	#ECD6D3	48099.4	7	15
#FCFCFC	#ECD6D3	48099	6.59999999999855	15
#FCFCFC	#ECD6D3	48098.6	7	15
#FCFCFC	#EBE8F4	48099.1	7.5	16
#FCFCFC	#EBE8F4	48099.5	7.90000000000146	16
#FCFCFC	#EBE8F4	48099.9	7.5	16
#FCFCFC	#EBE8F4	48099.5	7.09999999999855	16
#FCFCFC	#EBE8F4	48099.1	7.5	16
#FEFEFE	#F5F4FA	48099.6	8	17
#FEFEFE	#F5F4FA	48100	8.40000000000146	17
#FEFEFE	#F5F4FA	48100.4	8	17
#FEFEFE	#F5F4FA	48100	7.59999999999855	17
#FEFEFE	#F5F4FA	48099.6	8	17
#FEFEFE	#F6F4FA	48100.1	8.5	18
#FEFEFE	#F6F4FA	48100.5	8.90000000000146	18
#FEFEFE	#F6F4FA	48100.9	8.5	18
#FEFEFE	#F6F4FA	48100.5	8.09999999999855	18
#FEFEFE	#F6F4FA	48100.1	8.5	18
#FCFCFC	#E6C9C5	48100.6	9	19
#FCFCFC	#E6C9C5	48101	9.40000000000146	19
#FCFCFC	#E6C9C5	48101.4	9	19
#FCFCFC	#E6C9C5	48101	8.59999999999855	19
#FCFCFC	#E6C9C5	48100.6	9	19
#FAFAFA	#D8AEA8	48101.1	9.5	20
#FAFAFA	#D8AEA8	48101.5	9.90000000000146	20
#FAFAFA	#D8AEA8	48101.9	9.5	20
#FAFAFA	#D8AEA8	48101.5	9.09999999999854	20
#FAFAFA	#D8AEA8	48101.1	9.5	20
#FBFBFB	#D7D2E9	48101.6	10	21
#FBFBFB	#D7D2E9	48102	10.4000000000015	21
#FBFBFB	#D7D2E9	48102.4	10	21
#FBFBFB	#D7D2E9	48102	9.59999999999854	21
#FBFBFB	#D7D2E9	48101.6	10	21
#EFEFEF	#A95E58	48102.1	10.5	22
#EFEFEF	#A95E58	48102.5	10.9000000000015	22
#EFEFEF	#A95E58	48102.9	10.5	22
#EFEFEF	#A95E58	48102.5	10.0999999999985	22
#EFEFEF	#A95E58	48102.1	10.5	22
#FCFCFC	#E6C9C5	48102.6	11	23
#FCFCFC	#E6C9C5	48103	11.4000000000015	23
#FCFCFC	#E6C9C5	48103.4	11	23
#FCFCFC	#E6C9C5	48103	10.5999999999985	23
#FCFCFC	#E6C9C5	48102.6	11	23
#F5F5F5	#C0837C	48103.1	11.5	24
#F5F5F5	#C0837C	48103.5	11.9000000000015	24
#F5F5F5	#C0837C	48103.9	11.5	24
#F5F5F5	#C0837C	48103.5	11.0999999999985	24
#F5F5F5	#C0837C	48103.1	11.5	24
#FCFCFC	#E6C9C5	48103.6	12	25
#FCFCFC	#E6C9C5	48104	12.4000000000015	25
#FCFCFC	#E6C9C5	48104.4	12	25
#FCFCFC	#E6C9C5	48104	11.5999999999985	25
#FCFCFC	#E6C9C5	48103.6	12	25
#FFFFFF	#FCF8F7	48104.1	12.5	26
#FFFFFF	#FCF8F7	48104.5	12.9000000000015	26
#FFFFFF	#FCF8F7	48104.9	12.5	26
#FFFFFF	#FCF8F7	48104.5	12.0999999999985	26
#FFFFFF	#FCF8F7	48104.1	12.5	26
#FCFCFC	#E6C9C5	48104.6	13	27
#FCFCFC	#E6C9C5	48105	13.4000000000015	27
#FCFCFC	#E6C9C5	48105.4	13	27
#FCFCFC	#E6C9C5	48105	12.5999999999985	27
#FCFCFC	#E6C9C5	48104.6	13	27
#FCFCFC	#E6C9C5	48105.1	13.5	28
#FCFCFC	#E6C9C5	48105.5	13.9000000000015	28
#FCFCFC	#E6C9C5	48105.9	13.5	28
#FCFCFC	#E6C9C5	48105.5	13.0999999999985	28
#FCFCFC	#E6C9C5	48105.1	13.5	28
#F5F5F5	#C0837C	48105.6	14	29
#F5F5F5	#C0837C	48106	14.4000000000015	29
#F5F5F5	#C0837C	48106.4	14	29
#F5F5F5	#C0837C	48106	13.5999999999985	29
#F5F5F5	#C0837C	48105.6	14	29
#F7F7F7	#C68E87	48106.1	14.5	30
#F7F7F7	#C68E87	48106.5	14.9000000000015	30
#F7F7F7	#C68E87	48106.9	14.5	30
#F7F7F7	#C68E87	48106.5	14.0999999999985	30
#F7F7F7	#C68E87	48106.1	14.5	30
#FDFDFD	#F1DFDD	48106.6	15	31
#FDFDFD	#F1DFDD	48107	15.4000000000015	31
#FDFDFD	#F1DFDD	48107.4	15	31
#FDFDFD	#F1DFDD	48107	14.5999999999985	31
#FDFDFD	#F1DFDD	48106.6	15	31
#F8F8F8	#CE9B95	48107.1	15.5	32
#F8F8F8	#CE9B95	48107.5	15.9000000000015	32
#F8F8F8	#CE9B95	48107.9	15.5	32
#F8F8F8	#CE9B95	48107.5	15.0999999999985	32
#F8F8F8	#CE9B95	48107.1	15.5	32
#F8F8F8	#C1B9DD	48107.6	16	33
#F8F8F8	#C1B9DD	48108	16.4000000000015	33
#F8F8F8	#C1B9DD	48108.4	16	33
#F8F8F8	#C1B9DD	48108	15.5999999999985	33
#F8F8F8	#C1B9DD	48107.6	16	33
#F8F8F8	#CE9B95	48108.6	17	34
#F8F8F8	#CE9B95	48109	17.4000000000015	34
#F8F8F8	#CE9B95	48109.4	17	34
#F8F8F8	#CE9B95	48109	16.5999999999985	34
#F8F8F8	#CE9B95	48108.6	17	34
#F8F8F8	#CE9B95	48109.1	17.5	35
#F8F8F8	#CE9B95	48109.5	17.9000000000015	35
#F8F8F8	#CE9B95	48109.9	17.5	35
#F8F8F8	#CE9B95	48109.5	17.0999999999985	35
#F8F8F8	#CE9B95	48109.1	17.5	35
#FDFDFD	#DFDAEE	48109.6	18	36
#FDFDFD	#DFDAEE	48110	18.4000000000015	36
#FDFDFD	#DFDAEE	48110.4	18	36
#FDFDFD	#DFDAEE	48110	17.5999999999985	36
#FDFDFD	#DFDAEE	48109.6	18	36
#F5F5F5	#C0837C	48110.1	18.5	37
#F5F5F5	#C0837C	48110.5	18.9000000000015	37
#F5F5F5	#C0837C	48110.9	18.5	37
#F5F5F5	#C0837C	48110.5	18.0999999999985	37
#F5F5F5	#C0837C	48110.1	18.5	37
#FFFFFF	#FCF8F7	48110.6	19	38
#FFFFFF	#FCF8F7	48111	19.4000000000015	38
#FFFFFF	#FCF8F7	48111.4	19	38
#FFFFFF	#FCF8F7	48111	18.5999999999985	38
#FFFFFF	#FCF8F7	48110.6	19	38
#FCFCFC	#E6C9C5	48111.1	19.5	39
#FCFCFC	#E6C9C5	48111.5	19.9000000000015	39
#FCFCFC	#E6C9C5	48111.9	19.5	39
#FCFCFC	#E6C9C5	48111.5	19.0999999999985	39
#FCFCFC	#E6C9C5	48111.1	19.5	39
#FAFAFA	#D8AEA8	48111.6	20	40
#FAFAFA	#D8AEA8	48112	20.4000000000015	40
#FAFAFA	#D8AEA8	48112.4	20	40
#FAFAFA	#D8AEA8	48112	19.5999999999985	40
#FAFAFA	#D8AEA8	48111.6	20	40
#FCFCFC	#E6C9C5	48112.1	20.5	41
#FCFCFC	#E6C9C5	48112.5	20.9000000000015	41
#FCFCFC	#E6C9C5	48112.9	20.5	41
#FCFCFC	#E6C9C5	48112.5	20.0999999999985	41
#FCFCFC	#E6C9C5	48112.1	20.5	41
#FCFCFC	#E6C9C5	48112.6	21	42
#FCFCFC	#E6C9C5	48113	21.4000000000015	42
#FCFCFC	#E6C9C5	48113.4	21	42
#FCFCFC	#E6C9C5	48113	20.5999999999985	42
#FCFCFC	#E6C9C5	48112.6	21	42
#F6F6F6	#C0837C	48113.1	21.5	43
#F6F6F6	#C0837C	48113.5	21.9000000000015	43
#F6F6F6	#C0837C	48113.9	21.5	43
#F6F6F6	#C0837C	48113.5	21.0999999999985	43
#F6F6F6	#C0837C	48113.1	21.5	43
#FAFAFA	#D8AEA8	48113.6	22	44
#FAFAFA	#D8AEA8	48114	22.4000000000015	44
#FAFAFA	#D8AEA8	48114.4	22	44
#FAFAFA	#D8AEA8	48114	21.5999999999985	44
#FAFAFA	#D8AEA8	48113.6	22	44
#FAFAFA	#D8ADA8	48114.1	22.5	45
#FAFAFA	#D8ADA8	48114.5	22.9000000000015	45
#FAFAFA	#D8ADA8	48114.9	22.5	45
#FAFAFA	#D8ADA8	48114.5	22.0999999999985	45
#FAFAFA	#D8ADA8	48114.1	22.5	45
#F8F8F8	#CE9B95	48114.6	23	46
#F8F8F8	#CE9B95	48115	23.4000000000015	46
#F8F8F8	#CE9B95	48115.4	23	46
#F8F8F8	#CE9B95	48115	22.5999999999985	46
#F8F8F8	#CE9B95	48114.6	23	46
#FAFAFA	#D8AEA8	48115.1	23.5	47
#FAFAFA	#D8AEA8	48115.5	23.9000000000015	47
#FAFAFA	#D8AEA8	48115.9	23.5	47
#FAFAFA	#D8AEA8	48115.5	23.0999999999985	47
#FAFAFA	#D8AEA8	48115.1	23.5	47
#F8F8F8	#CE9B95	48115.6	24	48
#F8F8F8	#CE9B95	48116	24.4000000000015	48
#F8F8F8	#CE9B95	48116.4	24	48
#F8F8F8	#CE9B95	48116	23.5999999999985	48
#F8F8F8	#CE9B95	48115.6	24	48
#FDFDFD	#F1DFDC	48116.1	24.5	49
#FDFDFD	#F1DFDC	48116.5	24.9000000000015	49
#FDFDFD	#F1DFDC	48116.9	24.5	49
#FDFDFD	#F1DFDC	48116.5	24.0999999999985	49
#FDFDFD	#F1DFDC	48116.1	24.5	49
#484848	#DCB4AF	48092.6	0	50
#484848	#DCB4AF	48093	0.400000000001455	50
#484848	#DCB4AF	48093.4	0	50
#484848	#DCB4AF	48093	-0.400000000001455	50
#484848	#DCB4AF	48092.6	0	50
#585858	#E2C0BC	48093.1	0.5	51
#585858	#E2C0BC	48093.5	0.900000000001455	51
#585858	#E2C0BC	48093.9	0.5	51
#585858	#E2C0BC	48093.5	0.0999999999985448	51
#585858	#E2C0BC	48093.1	0.5	51
#5E5E5E	#DFBAB6	48093.6	1	52
#5E5E5E	#DFBAB6	48094	1.40000000000146	52
#5E5E5E	#DFBAB6	48094.4	1	52
#5E5E5E	#DFBAB6	48094	0.599999999998545	52
#5E5E5E	#DFBAB6	48093.6	1	52
#BBBBBB	#E5C6C2	48094.1	1.5	53
#BBBBBB	#E5C6C2	48094.5	1.90000000000146	53
#BBBBBB	#E5C6C2	48094.9	1.5	53
#BBBBBB	#E5C6C2	48094.5	1.09999999999854	53
#BBBBBB	#E5C6C2	48094.1	1.5	53
#A9A9A9	#D7ACA7	48094.6	2	54
#A9A9A9	#D7ACA7	48095	2.40000000000146	54
#A9A9A9	#D7ACA7	48095.4	2	54
#A9A9A9	#D7ACA7	48095	1.59999999999854	54
#A9A9A9	#D7ACA7	48094.6	2	54
#EDEDED	#EED8D5	48095.1	2.5	55
#EDEDED	#EED8D5	48095.5	2.90000000000146	55
#EDEDED	#EED8D5	48095.9	2.5	55
#EDEDED	#EED8D5	48095.5	2.09999999999854	55
#EDEDED	#EED8D5	48095.1	2.5	55
#EAEAEA	#EBD4D0	48095.6	3	56
#EAEAEA	#EBD4D0	48096	3.40000000000146	56
#EAEAEA	#EBD4D0	48096.4	3	56
#EAEAEA	#EBD4D0	48096	2.59999999999855	56
#EAEAEA	#EBD4D0	48095.6	3	56
#FBFBFB	#F5F4FA	48096.1	3.5	57
#FBFBFB	#F5F4FA	48096.5	3.90000000000146	57
#FBFBFB	#F5F4FA	48096.9	3.5	57
#FBFBFB	#F5F4FA	48096.5	3.09999999999855	57
#FBFBFB	#F5F4FA	48096.1	3.5	57
#FEFEFE	#FBFAFD	48096.6	4	58
#FEFEFE	#FBFAFD	48097	4.40000000000146	58
#FEFEFE	#FBFAFD	48097.4	4	58
#FEFEFE	#FBFAFD	48097	3.59999999999855	58
#FEFEFE	#FBFAFD	48096.6	4	58
#FDFDFD	#FBF5F4	48097.1	4.5	59
#FDFDFD	#FBF5F4	48097.5	4.90000000000146	59
#FDFDFD	#FBF5F4	48097.9	4.5	59
#FDFDFD	#FBF5F4	48097.5	4.09999999999855	59
#FDFDFD	#FBF5F4	48097.1	4.5	59
#F8F8F8	#EED9D7	48097.6	5	60
#F8F8F8	#EED9D7	48098	5.40000000000146	60
#F8F8F8	#EED9D7	48098.4	5	60
#F8F8F8	#EED9D7	48098	4.59999999999855	60
#F8F8F8	#EED9D7	48097.6	5	60
#FBFBFB	#F3E4E2	48098.1	5.5	61
#FBFBFB	#F3E4E2	48098.5	5.90000000000146	61
#FBFBFB	#F3E4E2	48098.9	5.5	61
#FBFBFB	#F3E4E2	48098.5	5.09999999999855	61
#FBFBFB	#F3E4E2	48098.1	5.5	61
#FBFBFB	#EBE9F4	48098.6	6	62
#FBFBFB	#EBE9F4	48099	6.40000000000146	62
#FBFBFB	#EBE9F4	48099.4	6	62
#FBFBFB	#EBE9F4	48099	5.59999999999855	62
#FBFBFB	#EBE9F4	48098.6	6	62
#FBFBFB	#F0DDDA	48099.1	6.5	63
#FBFBFB	#F0DDDA	48099.5	6.90000000000146	63
#FBFBFB	#F0DDDA	48099.9	6.5	63
#FBFBFB	#F0DDDA	48099.5	6.09999999999855	63
#FBFBFB	#F0DDDA	48099.1	6.5	63
#FEFEFE	#FCF7F7	48099.6	7	64
#FEFEFE	#FCF7F7	48100	7.40000000000146	64
#FEFEFE	#FCF7F7	48100.4	7	64
#FEFEFE	#FCF7F7	48100	6.59999999999855	64
#FEFEFE	#FCF7F7	48099.6	7	64
#FDFDFD	#F8F0EF	48100.1	7.5	65
#FDFDFD	#F8F0EF	48100.5	7.90000000000146	65
#FDFDFD	#F8F0EF	48100.9	7.5	65
#FDFDFD	#F8F0EF	48100.5	7.09999999999855	65
#FDFDFD	#F8F0EF	48100.1	7.5	65
#FDFDFD	#F1EEF7	48100.6	8	66
#FDFDFD	#F1EEF7	48101	8.40000000000146	66
#FDFDFD	#F1EEF7	48101.4	8	66
#FDFDFD	#F1EEF7	48101	7.59999999999855	66
#FDFDFD	#F1EEF7	48100.6	8	66
#F4F4F4	#BA7A72	48101.1	8.5	67
#F4F4F4	#BA7A72	48101.5	8.90000000000146	67
#F4F4F4	#BA7A72	48101.9	8.5	67
#F4F4F4	#BA7A72	48101.5	8.09999999999855	67
#F4F4F4	#BA7A72	48101.1	8.5	67
#FAFAFA	#ECD4D1	48101.6	9	68
#FAFAFA	#ECD4D1	48102	9.40000000000146	68
#FAFAFA	#ECD4D1	48102.4	9	68
#FAFAFA	#ECD4D1	48102	8.59999999999855	68
#FAFAFA	#ECD4D1	48101.6	9	68
#F8F8F8	#CE9B95	48102.1	9.5	69
#F8F8F8	#CE9B95	48102.5	9.90000000000146	69
#F8F8F8	#CE9B95	48102.9	9.5	69
#F8F8F8	#CE9B95	48102.5	9.09999999999854	69
#F8F8F8	#CE9B95	48102.1	9.5	69
#FAFAFA	#E5C6C2	48102.6	10	70
#FAFAFA	#E5C6C2	48103	10.4000000000015	70
#FAFAFA	#E5C6C2	48103.4	10	70
#FAFAFA	#E5C6C2	48103	9.59999999999854	70
#FAFAFA	#E5C6C2	48102.6	10	70
#F0F0F0	#AD645D	48103.1	10.5	71
#F0F0F0	#AD645D	48103.5	10.9000000000015	71
#F0F0F0	#AD645D	48103.9	10.5	71
#F0F0F0	#AD645D	48103.5	10.0999999999985	71
#F0F0F0	#AD645D	48103.1	10.5	71
#F5F5F5	#C0837C	48103.6	11	72
#F5F5F5	#C0837C	48104	11.4000000000015	72
#F5F5F5	#C0837C	48104.4	11	72
#F5F5F5	#C0837C	48104	10.5999999999985	72
#F5F5F5	#C0837C	48103.6	11	72
#FEFEFE	#F6EAE8	48104.1	11.5	73
#FEFEFE	#F6EAE8	48104.5	11.9000000000015	73
#FEFEFE	#F6EAE8	48104.9	11.5	73
#FEFEFE	#F6EAE8	48104.5	11.0999999999985	73
#FEFEFE	#F6EAE8	48104.1	11.5	73
#F5F5F5	#C0837C	48104.6	12	74
#F5F5F5	#C0837C	48105	12.4000000000015	74
#F5F5F5	#C0837C	48105.4	12	74
#F5F5F5	#C0837C	48105	11.5999999999985	74
#F5F5F5	#C0837C	48104.6	12	74
#EFEFEF	#AA5F58	48105.6	13	75
#EFEFEF	#AA5F58	48106	13.4000000000015	75
#EFEFEF	#AA5F58	48106.4	13	75
#EFEFEF	#AA5F58	48106	12.5999999999985	75
#EFEFEF	#AA5F58	48105.6	13	75
#FFFFFF	#FDF9F9	48106.1	13.5	76
#FFFFFF	#FDF9F9	48106.5	13.9000000000015	76
#FFFFFF	#FDF9F9	48106.9	13.5	76
#FFFFFF	#FDF9F9	48106.5	13.0999999999985	76
#FFFFFF	#FDF9F9	48106.1	13.5	76
#FBFBFB	#E8CDCA	48106.6	14	77
#FBFBFB	#E8CDCA	48107	14.4000000000015	77
#FBFBFB	#E8CDCA	48107.4	14	77
#FBFBFB	#E8CDCA	48107	13.5999999999985	77
#FBFBFB	#E8CDCA	48106.6	14	77
#FFFFFF	#FCF8F7	48107.1	14.5	78
#FFFFFF	#FCF8F7	48107.5	14.9000000000015	78
#FFFFFF	#FCF8F7	48107.9	14.5	78
#FFFFFF	#FCF8F7	48107.5	14.0999999999985	78
#FFFFFF	#FCF8F7	48107.1	14.5	78
#F5F5F5	#D8ACA7	48107.6	15	79
#F5F5F5	#D8ACA7	48108	15.4000000000015	79
#F5F5F5	#D8ACA7	48108.4	15	79
#F5F5F5	#D8ACA7	48108	14.5999999999985	79
#F5F5F5	#D8ACA7	48107.6	15	79
#FDFDFD	#E7E3F2	48108.1	15.5	80
#FDFDFD	#E7E3F2	48108.5	15.9000000000015	80
#FDFDFD	#E7E3F2	48108.9	15.5	80
#FDFDFD	#E7E3F2	48108.5	15.0999999999985	80
#FDFDFD	#E7E3F2	48108.1	15.5	80
#FEFEFE	#F6F4FA	48108.6	16	81
#FEFEFE	#F6F4FA	48109	16.4000000000015	81
#FEFEFE	#F6F4FA	48109.4	16	81
#FEFEFE	#F6F4FA	48109	15.5999999999985	81
#FEFEFE	#F6F4FA	48108.6	16	81
#F8F8F8	#C4BCDF	48109.1	16.5	82
#F8F8F8	#C4BCDF	48109.5	16.9000000000015	82
#F8F8F8	#C4BCDF	48109.9	16.5	82
#F8F8F8	#C4BCDF	48109.5	16.0999999999985	82
#F8F8F8	#C4BCDF	48109.1	16.5	82
#FFFFFF	#FBFBFD	48109.6	17	83
#FFFFFF	#FBFBFD	48110	17.4000000000015	83
#FFFFFF	#FBFBFD	48110.4	17	83
#FFFFFF	#FBFBFD	48110	16.5999999999985	83
#FFFFFF	#FBFBFD	48109.6	17	83
#FAFAFA	#D8AEA8	48110.1	17.5	84
#FAFAFA	#D8AEA8	48110.5	17.9000000000015	84
#FAFAFA	#D8AEA8	48110.9	17.5	84
#FAFAFA	#D8AEA8	48110.5	17.0999999999985	84
#FAFAFA	#D8AEA8	48110.1	17.5	84
#FDFDFD	#F1DFDC	48110.6	18	85
#FDFDFD	#F1DFDC	48111	18.4000000000015	85
#FDFDFD	#F1DFDC	48111.4	18	85
#FDFDFD	#F1DFDC	48111	17.5999999999985	85
#FDFDFD	#F1DFDC	48110.6	18	85
#F8F8F8	#CE9B95	48111.1	18.5	86
#F8F8F8	#CE9B95	48111.5	18.9000000000015	86
#F8F8F8	#CE9B95	48111.9	18.5	86
#F8F8F8	#CE9B95	48111.5	18.0999999999985	86
#F8F8F8	#CE9B95	48111.1	18.5	86
#F4F4F4	#BB7A73	48111.6	19	87
#F4F4F4	#BB7A73	48112	19.4000000000015	87
#F4F4F4	#BB7A73	48112.4	19	87
#F4F4F4	#BB7A73	48112	18.5999999999985	87
#F4F4F4	#BB7A73	48111.6	19	87
#F3F3F3	#B6726B	48112.1	19.5	88
#F3F3F3	#B6726B	48112.5	19.9000000000015	88
#F3F3F3	#B6726B	48112.9	19.5	88
#F3F3F3	#B6726B	48112.5	19.0999999999985	88
#F3F3F3	#B6726B	48112.1	19.5	88
#FEFEFE	#F5F4FA	48112.6	20	89
#FEFEFE	#F5F4FA	48113	20.4000000000015	89
#FEFEFE	#F5F4FA	48113.4	20	89
#FEFEFE	#F5F4FA	48113	19.5999999999985	89
#FEFEFE	#F5F4FA	48112.6	20	89
#F5F5F5	#C0837C	48113.1	20.5	90
#F5F5F5	#C0837C	48113.5	20.9000000000015	90
#F5F5F5	#C0837C	48113.9	20.5	90
#F5F5F5	#C0837C	48113.5	20.0999999999985	90
#F5F5F5	#C0837C	48113.1	20.5	90
#FCFCFC	#ECD6D3	48113.6	21	91
#FCFCFC	#ECD6D3	48114	21.4000000000015	91
#FCFCFC	#ECD6D3	48114.4	21	91
#FCFCFC	#ECD6D3	48114	20.5999999999985	91
#FCFCFC	#ECD6D3	48113.6	21	91
#F2F2F2	#B16B64	48114.1	21.5	92
#F2F2F2	#B16B64	48114.5	21.9000000000015	92
#F2F2F2	#B16B64	48114.9	21.5	92
#F2F2F2	#B16B64	48114.5	21.0999999999985	92
#F2F2F2	#B16B64	48114.1	21.5	92
#F7F7F7	#C68E87	48114.6	22	93
#F7F7F7	#C68E87	48115	22.4000000000015	93
#F7F7F7	#C68E87	48115.4	22	93
#F7F7F7	#C68E87	48115	21.5999999999985	93
#F7F7F7	#C68E87	48114.6	22	93
#FBFBFB	#D7D2E9	48115.1	22.5	94
#FBFBFB	#D7D2E9	48115.5	22.9000000000015	94
#FBFBFB	#D7D2E9	48115.9	22.5	94
#FBFBFB	#D7D2E9	48115.5	22.0999999999985	94
#FBFBFB	#D7D2E9	48115.1	22.5	94
#F8F8F8	#CE9B95	48115.6	23	95
#F8F8F8	#CE9B95	48116	23.4000000000015	95
#F8F8F8	#CE9B95	48116.4	23	95
#F8F8F8	#CE9B95	48116	22.5999999999985	95
#F8F8F8	#CE9B95	48115.6	23	95
#FEFEFE	#F6F4FA	48116.1	23.5	96
#FEFEFE	#F6F4FA	48116.5	23.9000000000015	96
#FEFEFE	#F6F4FA	48116.9	23.5	96
#FEFEFE	#F6F4FA	48116.5	23.0999999999985	96
#FEFEFE	#F6F4FA	48116.1	23.5	96
#FAFAFA	#D8ADA8	48116.6	24	97
#FAFAFA	#D8ADA8	48117	24.4000000000015	97
#FAFAFA	#D8ADA8	48117.4	24	97
#FAFAFA	#D8ADA8	48117	23.5999999999985	97
#FAFAFA	#D8ADA8	48116.6	24	97
#FAFAFA	#D8AEA8	48117.1	24.5	98
#FAFAFA	#D8AEA8	48117.5	24.9000000000015	98
#FAFAFA	#D8AEA8	48117.9	24.5	98
#FAFAFA	#D8AEA8	48117.5	24.0999999999985	98
#FAFAFA	#D8AEA8	48117.1	24.5	98
#303030	#E5C7C3	48093.6	0	99
#303030	#E5C7C3	48094	0.400000000001455	99
#303030	#E5C7C3	48094.4	0	99
#303030	#E5C7C3	48094	-0.400000000001455	99
#303030	#E5C7C3	48093.6	0	99
#686868	#EDD6D3	48094.1	0.5	100
#686868	#EDD6D3	48094.5	0.900000000001455	100
#686868	#EDD6D3	48094.9	0.5	100
#686868	#EDD6D3	48094.5	0.0999999999985448	100
#686868	#EDD6D3	48094.1	0.5	100
#8C8C8C	#E8CCC9	48094.6	1	101
#8C8C8C	#E8CCC9	48095	1.40000000000146	101
#8C8C8C	#E8CCC9	48095.4	1	101
#8C8C8C	#E8CCC9	48095	0.599999999998545	101
#8C8C8C	#E8CCC9	48094.6	1	101
#6F6F6F	#DFBBB6	48095.1	1.5	102
#6F6F6F	#DFBBB6	48095.5	1.90000000000146	102
#6F6F6F	#DFBBB6	48095.9	1.5	102
#6F6F6F	#DFBBB6	48095.5	1.09999999999854	102
#6F6F6F	#DFBBB6	48095.1	1.5	102
#A8A8A8	#E2C0BC	48095.6	2	103
#A8A8A8	#E2C0BC	48096	2.40000000000146	103
#A8A8A8	#E2C0BC	48096.4	2	103
#A8A8A8	#E2C0BC	48096	1.59999999999854	103
#A8A8A8	#E2C0BC	48095.6	2	103
#F6F6F6	#F9F1F0	48096.1	2.5	104
