x	y	tooltip	clickSelects	group	xmin	xmax	ymin	ymax
-2.75	5	logFC=-2.75 -log10(p)=5 pixels= 1	logFC=-2.75 -log10(p)=5	182	-2.875	-2.625	4.5	5.5
-2	10	logFC=-2 -log10(p)=10 pixels= 2	logFC=-2 -log10(p)=10	136	-2.125	-1.875	9.5	10.5
-2.5	9	logFC=-2.5 -log10(p)=9 pixels= 1	logFC=-2.5 -log10(p)=9	175	-2.625	-2.375	8.5	9.5
-2.5	7	logFC=-2.5 -log10(p)=7 pixels= 2	logFC=-2.5 -log10(p)=7	173	-2.625	-2.375	6.5	7.5
-2.25	14	logFC=-2.25 -log10(p)=14 pixels= 1	logFC=-2.25 -log10(p)=14	154	-2.375	-2.125	13.5	14.5
-2.75	14	logFC=-2.75 -log10(p)=14 pixels= 1	logFC=-2.75 -log10(p)=14	178	-2.875	-2.625	13.5	14.5
-2.25	8	logFC=-2.25 -log10(p)=8 pixels= 1	logFC=-2.25 -log10(p)=8	163	-2.375	-2.125	7.5	8.5
-2	18	logFC=-2 -log10(p)=18 pixels= 1	logFC=-2 -log10(p)=18	140	-2.125	-1.875	17.5	18.5
-2.25	18	logFC=-2.25 -log10(p)=18 pixels= 1	logFC=-2.25 -log10(p)=18	155	-2.375	-2.125	17.5	18.5
-2.5	14	logFC=-2.5 -log10(p)=14 pixels= 1	logFC=-2.5 -log10(p)=14	167	-2.625	-2.375	13.5	14.5
-2.25	9	logFC=-2.25 -log10(p)=9 pixels= 1	logFC=-2.25 -log10(p)=9	164	-2.375	-2.125	8.5	9.5
-2.5	11	logFC=-2.5 -log10(p)=11 pixels= 1	logFC=-2.5 -log10(p)=11	166	-2.625	-2.375	10.5	11.5
-1.75	20	logFC=-1.75 -log10(p)=20 pixels= 1	logFC=-1.75 -log10(p)=20	124	-1.875	-1.625	19.5	20.5
-2	21	logFC=-2 -log10(p)=21 pixels= 2	logFC=-2 -log10(p)=21	143	-2.125	-1.875	20.5	21.5
-2	17	logFC=-2 -log10(p)=17 pixels= 1	logFC=-2 -log10(p)=17	139	-2.125	-1.875	16.5	17.5
-2	14	logFC=-2 -log10(p)=14 pixels= 1	logFC=-2 -log10(p)=14	137	-2.125	-1.875	13.5	14.5
-2.5	15	logFC=-2.5 -log10(p)=15 pixels= 1	logFC=-2.5 -log10(p)=15	168	-2.625	-2.375	14.5	15.5
-1.75	10	logFC=-1.75 -log10(p)=10 pixels= 2	logFC=-1.75 -log10(p)=10	117	-1.875	-1.625	9.5	10.5
-1.5	18	logFC=-1.5 -log10(p)=18 pixels= 3	logFC=-1.5 -log10(p)=18	104	-1.625	-1.375	17.5	18.5
-1.5	13	logFC=-1.5 -log10(p)=13 pixels= 1	logFC=-1.5 -log10(p)=13	100	-1.625	-1.375	12.5	13.5
-1.75	17	logFC=-1.75 -log10(p)=17 pixels= 1	logFC=-1.75 -log10(p)=17	121	-1.875	-1.625	16.5	17.5
-1.25	21	logFC=-1.25 -log10(p)=21 pixels= 2	logFC=-1.25 -log10(p)=21	87	-1.375	-1.125	20.5	21.5
-2	19	logFC=-2 -log10(p)=19 pixels= 1	logFC=-2 -log10(p)=19	141	-2.125	-1.875	18.5	19.5
-2.25	21	logFC=-2.25 -log10(p)=21 pixels= 1	logFC=-2.25 -log10(p)=21	157	-2.375	-2.125	20.5	21.5
-1.75	15	logFC=-1.75 -log10(p)=15 pixels= 2	logFC=-1.75 -log10(p)=15	120	-1.875	-1.625	14.5	15.5
-2	16	logFC=-2 -log10(p)=16 pixels= 2	logFC=-2 -log10(p)=16	138	-2.125	-1.875	15.5	16.5
-1.5	21	logFC=-1.5 -log10(p)=21 pixels= 1	logFC=-1.5 -log10(p)=21	107	-1.625	-1.375	20.5	21.5
-1.75	24	logFC=-1.75 -log10(p)=24 pixels= 1	logFC=-1.75 -log10(p)=24	125	-1.875	-1.625	23.5	24.5
-2	23	logFC=-2 -log10(p)=23 pixels= 1	logFC=-2 -log10(p)=23	144	-2.125	-1.875	22.5	23.5
-1.25	17	logFC=-1.25 -log10(p)=17 pixels= 3	logFC=-1.25 -log10(p)=17	82	-1.375	-1.125	16.5	17.5
-1.25	12	logFC=-1.25 -log10(p)=12 pixels= 3	logFC=-1.25 -log10(p)=12	77	-1.375	-1.125	11.5	12.5
-1.25	19	logFC=-1.25 -log10(p)=19 pixels= 1	logFC=-1.25 -log10(p)=19	84	-1.375	-1.125	18.5	19.5
