x	y	tooltip	clickSelects	group	xmin	xmax	ymin	ymax
-4	1	logFC=-4 -log10(p)=1 pixels= 1	logFC=-4 -log10(p)=1	196	-4.125	-3.875	0.5	1.5
-3	1	logFC=-3 -log10(p)=1 pixels= 10	logFC=-3 -log10(p)=1	184	-3.125	-2.875	0.5	1.5
-0.25	0	logFC=-0.25 -log10(p)=0 pixels= 140	logFC=-0.25 -log10(p)=0	1	-0.375	-0.125	-0.5	0.5
-2.75	1	logFC=-2.75 -log10(p)=1 pixels= 8	logFC=-2.75 -log10(p)=1	176	-2.875	-2.625	0.5	1.5
-0.75	0	logFC=-0.75 -log10(p)=0 pixels= 44	logFC=-0.75 -log10(p)=0	26	-0.875	-0.625	-0.5	0.5
-2.25	1	logFC=-2.25 -log10(p)=1 pixels= 23	logFC=-2.25 -log10(p)=1	152	-2.375	-2.125	0.5	1.5
1.75	1	logFC=1.75 -log10(p)=1 pixels= 3	logFC=1.75 -log10(p)=1	236	1.625	1.875	0.5	1.5
-2	0	logFC=-2 -log10(p)=0 pixels= 5	logFC=-2 -log10(p)=0	134	-2.125	-1.875	-0.5	0.5
-2.5	1	logFC=-2.5 -log10(p)=1 pixels= 4	logFC=-2.5 -log10(p)=1	165	-2.625	-2.375	0.5	1.5
-1.75	19	logFC=-1.75 -log10(p)=19 pixels= 1	logFC=-1.75 -log10(p)=19	122	-1.875	-1.625	18.5	19.5
-1.5	17	logFC=-1.5 -log10(p)=17 pixels= 3	logFC=-1.5 -log10(p)=17	103	-1.625	-1.375	16.5	17.5
-1.5	16	logFC=-1.5 -log10(p)=16 pixels= 3	logFC=-1.5 -log10(p)=16	102	-1.625	-1.375	15.5	16.5
-1.25	7	logFC=-1.25 -log10(p)=7 pixels= 19	logFC=-1.25 -log10(p)=7	95	-1.375	-1.125	6.5	7.5
-2	8	logFC=-2 -log10(p)=8 pixels= 3	logFC=-2 -log10(p)=8	150	-2.125	-1.875	7.5	8.5
-1	1	logFC=-1 -log10(p)=1 pixels= 66	logFC=-1 -log10(p)=1	49	-1.125	-0.875	0.5	1.5
-3.25	1	logFC=-3.25 -log10(p)=1 pixels= 7	logFC=-3.25 -log10(p)=1	189	-3.375	-3.125	0.5	1.5
-1.25	1	logFC=-1.25 -log10(p)=1 pixels= 52	logFC=-1.25 -log10(p)=1	74	-1.375	-1.125	0.5	1.5
-3.75	1	logFC=-3.75 -log10(p)=1 pixels= 8	logFC=-3.75 -log10(p)=1	193	-3.875	-3.625	0.5	1.5
-4	2	logFC=-4 -log10(p)=2 pixels= 7	logFC=-4 -log10(p)=2	197	-4.125	-3.875	1.5	2.5
-3.5	1	logFC=-3.5 -log10(p)=1 pixels= 20	logFC=-3.5 -log10(p)=1	191	-3.625	-3.375	0.5	1.5
-1.25	22	logFC=-1.25 -log10(p)=22 pixels= 1	logFC=-1.25 -log10(p)=22	88	-1.375	-1.125	21.5	22.5
-1	15	logFC=-1 -log10(p)=15 pixels= 6	logFC=-1 -log10(p)=15	55	-1.125	-0.875	14.5	15.5
-1.25	11	logFC=-1.25 -log10(p)=11 pixels= 3	logFC=-1.25 -log10(p)=11	76	-1.375	-1.125	10.5	11.5
-1.5	14	logFC=-1.5 -log10(p)=14 pixels= 2	logFC=-1.5 -log10(p)=14	101	-1.625	-1.375	13.5	14.5
-0.25	1	logFC=-0.25 -log10(p)=1 pixels= 341	logFC=-0.25 -log10(p)=1	2	-0.375	-0.125	0.5	1.5
-1	3	logFC=-1 -log10(p)=3 pixels= 50	logFC=-1 -log10(p)=3	66	-1.125	-0.875	2.5	3.5
0.5	1	logFC=0.5 -log10(p)=1 pixels= 30	logFC=0.5 -log10(p)=1	213	0.375	0.625	0.5	1.5
-1.25	2	logFC=-1.25 -log10(p)=2 pixels= 24	logFC=-1.25 -log10(p)=2	85	-1.375	-1.125	1.5	2.5
-2	2	logFC=-2 -log10(p)=2 pixels= 13	logFC=-2 -log10(p)=2	142	-2.125	-1.875	1.5	2.5
-1.75	1	logFC=-1.75 -log10(p)=1 pixels= 31	logFC=-1.75 -log10(p)=1	116	-1.875	-1.625	0.5	1.5
-4.25	2	logFC=-4.25 -log10(p)=2 pixels= 17	logFC=-4.25 -log10(p)=2	198	-4.375	-4.125	1.5	2.5
-1	21	logFC=-1 -log10(p)=21 pixels= 6	logFC=-1 -log10(p)=21	62	-1.125	-0.875	20.5	21.5
-1	17	logFC=-1 -log10(p)=17 pixels= 3	logFC=-1 -log10(p)=17	57	-1.125	-0.875	16.5	17.5
-1.5	20	logFC=-1.5 -log10(p)=20 pixels= 3	logFC=-1.5 -log10(p)=20	106	-1.625	-1.375	19.5	20.5
-1.25	13	logFC=-1.25 -log10(p)=13 pixels= 6	logFC=-1.25 -log10(p)=13	78	-1.375	-1.125	12.5	13.5
-0.75	6	logFC=-0.75 -log10(p)=6 pixels= 31	logFC=-0.75 -log10(p)=6	44	-0.875	-0.625	5.5	6.5
-0.5	3	logFC=-0.5 -log10(p)=3 pixels= 80	logFC=-0.5 -log10(p)=3	19	-0.625	-0.375	2.5	3.5
-0.5	2	logFC=-0.5 -log10(p)=2 pixels= 153	logFC=-0.5 -log10(p)=2	18	-0.625	-0.375	1.5	2.5
-0.5	1	logFC=-0.5 -log10(p)=1 pixels= 110	logFC=-0.5 -log10(p)=1	10	-0.625	-0.375	0.5	1.5
-1.5	5	logFC=-1.5 -log10(p)=5 pixels= 21	logFC=-1.5 -log10(p)=5	111	-1.625	-1.375	4.5	5.5
-1.75	2	logFC=-1.75 -log10(p)=2 pixels= 17	logFC=-1.75 -log10(p)=2	123	-1.875	-1.625	1.5	2.5
-3.5	4	logFC=-3.5 -log10(p)=4 pixels= 1	logFC=-3.5 -log10(p)=4	192	-3.625	-3.375	3.5	4.5
-2.25	4	logFC=-2.25 -log10(p)=4 pixels= 5	logFC=-2.25 -log10(p)=4	159	-2.375	-2.125	3.5	4.5
-4.25	6	logFC=-4.25 -log10(p)=6 pixels= 1	logFC=-4.25 -log10(p)=6	199	-4.375	-4.125	5.5	6.5
-3	4	logFC=-3 -log10(p)=4 pixels= 2	logFC=-3 -log10(p)=4	187	-3.125	-2.875	3.5	4.5
-2.75	3	logFC=-2.75 -log10(p)=3 pixels= 2	logFC=-2.75 -log10(p)=3	180	-2.875	-2.625	2.5	3.5
-3.25	3	logFC=-3.25 -log10(p)=3 pixels= 4	logFC=-3.25 -log10(p)=3	190	-3.375	-3.125	2.5	3.5
-4.75	3	logFC=-4.75 -log10(p)=3 pixels= 3	logFC=-4.75 -log10(p)=3	202	-4.875	-4.625	2.5	3.5
-2.25	2	logFC=-2.25 -log10(p)=2 pixels= 8	logFC=-2.25 -log10(p)=2	156	-2.375	-2.125	1.5	2.5
-3	2	logFC=-3 -log10(p)=2 pixels= 6	logFC=-3 -log10(p)=2	185	-3.125	-2.875	1.5	2.5
-1.25	24	logFC=-1.25 -log10(p)=24 pixels= 2	logFC=-1.25 -log10(p)=24	89	-1.375	-1.125	23.5	24.5
-1	18	logFC=-1 -log10(p)=18 pixels= 4	logFC=-1 -log10(p)=18	58	-1.125	-0.875	17.5	18.5
-1	11	logFC=-1 -log10(p)=11 pixels= 14	logFC=-1 -log10(p)=11	51	-1.125	-0.875	10.5	11.5
-0.5	6	logFC=-0.5 -log10(p)=6 pixels= 35	logFC=-0.5 -log10(p)=6	22	-0.625	-0.375	5.5	6.5
-0.75	2	logFC=-0.75 -log10(p)=2 pixels= 73	logFC=-0.75 -log10(p)=2	38	-0.875	-0.625	1.5	2.5
-0.75	3	logFC=-0.75 -log10(p)=3 pixels= 106	logFC=-0.75 -log10(p)=3	41	-0.875	-0.625	2.5	3.5
-1.25	3	logFC=-1.25 -log10(p)=3 pixels= 25	logFC=-1.25 -log10(p)=3	91	-1.375	-1.125	2.5	3.5
-1.5	2	logFC=-1.5 -log10(p)=2 pixels= 22	logFC=-1.5 -log10(p)=2	105	-1.625	-1.375	1.5	2.5
-5	3	logFC=-5 -log10(p)=3 pixels= 4	logFC=-5 -log10(p)=3	203	-5.125	-4.875	2.5	3.5
-0.5	8	logFC=-0.5 -log10(p)=8 pixels= 30	logFC=-0.5 -log10(p)=8	24	-0.625	-0.375	7.5	8.5
-0.25	2	logFC=-0.25 -log10(p)=2 pixels= 94	logFC=-0.25 -log10(p)=2	3	-0.375	-0.125	1.5	2.5
0	1	logFC=0 -log10(p)=1 pixels= 37	logFC=0 -log10(p)=1	206	-0.125	0.125	0.5	1.5
0.5	6	logFC=0.5 -log10(p)=6 pixels= 4	logFC=0.5 -log10(p)=6	218	0.375	0.625	5.5	6.5
0.75	13	logFC=0.75 -log10(p)=13 pixels= 1	logFC=0.75 -log10(p)=13	221	0.625	0.875	12.5	13.5
